识别日期,name,code,continuous_limit,limit_time,reason
2025-04-28,东贝集团,601956,4,09:25,机器人
2025-04-28,华银电力,600744,3,09:25,绿色电力
2025-04-28,茂业商业,600828,3,09:32,消费
2025-04-28,鸿博股份,2229,2,09:25,业绩增长
2025-04-28,中电鑫龙,2298,2,09:30,绿色电力
2025-04-28,华电辽能,600396,2,09:30,绿色电力
2025-04-28,天娱数科,2354,2,11:28,人工智能
2025-04-28,上海物贸,600822,2,13:21,物流
2025-04-28,华电能源,600726,2,14:34,绿色电力
2025-04-28,渝三峡A,565,2,14:44,业绩增长
2025-04-28,珀莱雅,603605,2,14:49,业绩增长
2025-04-28,亚泰实业,691,1,14:53,化工
2025-04-28,金麒麟,603586,1,09:25,业绩增长
2025-04-28,普路通,2769,1,09:30,业绩增长+跨境电商
2025-04-28,三夫户外,2780,1,09:30,业绩增长+户外装备
2025-04-28,金财互联,2530,1,09:31,业绩增长+跨境电商
2025-04-28,新锦动力,300157,1,09:35,业绩增长
2025-04-28,狮头股份,600539,1,09:35,业绩增长+跨境电商
2025-04-28,四川金顶,600678,1,09:45,业绩增长+机器人
2025-04-28,威尔药业,603351,4,09:46,业绩增长+环氧乙烷
2025-04-28,金能科技,603113,1,09:47,业绩增长
2025-04-28,天沃科技,2564,7,09:49,业绩增长+摘帽
2025-04-28,华阳新材,600281,1,10:18,业绩增长
2025-04-28,大位科技,600589,1,10:23,业绩增长+算力
2025-04-28,中毅达,600610,1,11:12,业绩增长+化工
2025-04-28,联合化学,301209,1,14:27,业绩增长
2025-04-28,廊坊发展,600149,1,14:47,业绩增长+房地产
2025-04-28,浔兴股份,2098,5,14:49,业绩增长+跨境电商
2025-04-28,京能电力,600578,1,09:57,绿色电力+净利增长
2025-04-28,新能泰山,720,1,10:03,绿色电力+业绩扭亏
2025-04-28,亚太实业,691,3,14:53,化工
2025-04-28,宿迁联盛,603065,1,14:23,化工
2025-04-28,德生科技,2908,1,09:50,人工智能
2025-04-28,新北洋,2376,1,13:04,消费+业绩
2025-04-28,弘晨光电,301479,1,11:15,影石+业绩
2025-04-28,瀛通通讯,2861,1,11:29,影石
2025-04-28,绿康生化,2868,1,09:25,股权变更
2025-04-28,恒润股份,603985,1,10:11,算力
2025-04-28,大千生态,603955,1,10:16,宠物经济
2025-04-28,雅博股份,2323,1,14:42,光伏
2025-04-28,永安药业,2365,1,15:00,医药
2025-04-28,联盛化学,301212,1,14:56,石油化工
2025-04-28,肯特股份,301591,1,09:57,其他
2025-04-28,新莱福,301323,1,09:25,公告
2025-04-28,三峡水利,600116,1,09:31,绿色电力
2025-04-28,闽东电力,993,1,11:28,绿色电力
2025-04-28,众泰汽车,980,1,13:54,新能源汽车
2025-04-28,兄弟科技,2562,1,09:58,公告
2025-04-28,东方材料,603110,1,11:02,人工智能
2025-04-28,南山控股,2314,1,09:30,房地产
2025-04-28,鹏欣资源,600490,1,09:31,公告
2025-04-28,掌阅科技,603353,1,09:33,人工智能
2025-04-28,福鞍股份,603315,1,10:21,东数西算/算力
2025-04-28,威领股份,2667,1,09:30,其他
2025-04-28,南方路机,603280,1,09:25,业绩增长
2025-04-28,众信旅游,2707,1,09:30,免税店概念
2025-04-28,西昌电力,600505,1,09:30,电力体制改革
2025-04-28,天宸股份,600620,1,09:31,业绩增长
2025-04-28,泰坦股份,3036,1,09:48,外贸受益概念
2025-04-28,宁波联合,600051,1,09:25,电力体制改革
